
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0065"
"0.0200","0.0000","-0.0063"
"0.0400","0.0000","-0.0099"
"0.0600","0.0000","0.0211"
"0.0800","-0.0001","0.0091"
"0.1000","-0.0001","-0.0075"
"0.1200","0.0001","-0.0170"
"0.1400","0.0002","-0.0101"
"0.1600","0.0005","0.0227"
"0.1800","0.0008","-0.0089"
"0.2000","0.0013","-0.0036"
"0.2200","0.0020","0.0195"
"0.2400","0.0030","-0.0137"
"0.2600","0.0043","0.0074"
"0.2800","0.0056","-0.0080"
"0.3000","0.0066","-0.0105"
"0.3200","0.0075","-0.0033"
"0.3400","0.0083","-0.0108"
"0.3600","0.0089","0.0042"
"0.3800","0.0096","0.0028"
"0.4000","0.0102","0.0002"
"0.4200","0.0108","0.0042"
"0.4400","0.0114","0.0102"
"0.4600","0.0120","0.0073"
"0.4800","0.0126","-0.0002"
"0.5000","0.0132","0.0094"
"0.5200","0.0138","0.0306"
"0.5400","0.0144","-0.0161"
"0.5600","0.0150","-0.0026"
"0.5800","0.0156","0.0138"
"0.6000","0.0162","0.0125"
"0.6200","0.0168","-0.0037"
"0.6400","0.0174","0.0044"
"0.6600","0.0180","-0.0017"
"0.6800","0.0186","0.0101"
"0.7000","0.0192","0.0130"
"0.7200","0.0198","0.0041"
"0.7400","0.0204","-0.0136"
"0.7600","0.0210","0.0009"
"0.7800","0.0216","0.0165"
"0.8000","0.0222","0.0241"
"0.8200","0.0228","0.0096"
"0.8400","0.0234","0.0026"
"0.8600","0.0240","0.0062"
"0.8800","0.0246","-0.0084"
"0.9000","0.0252","0.0145"
"0.9200","0.0258","0.0096"
"0.9400","0.0264","-0.0004"
"0.9600","0.0270","0.0032"
"0.9800","0.0276","0.0015"
"1.0000","0.0283","0.0198"
"1.0200","0.0289","-0.0024"
"1.0400","0.0295","-0.0062"
"1.0600","0.0301","0.0264"
"1.0800","0.0307","0.0117"
"1.1000","0.0313","-0.0068"
"1.1200","0.0319","-0.0096"
"1.1400","0.0326","0.0192"
"1.1600","0.0332","0.0124"
"1.1800","0.0338","-0.0050"
"1.2000","0.0344","0.0124"
"1.2200","0.0350","-0.0117"
"1.2400","0.0355","0.0132"
"1.2600","0.0361","0.0220"
"1.2800","0.0366","0.0111"
"1.3000","0.0372","-0.0093"
"1.3200","0.0378","0.0086"
"1.3400","0.0384","0.0299"
"1.3600","0.0390","0.0027"
"1.3800","0.0397","-0.0079"
"1.4000","0.0403","-0.0065"
"1.4200","0.0409","0.0248"
"1.4400","0.0415","0.0041"
"1.4600","0.0421","-0.0110"
"1.4800","0.0427","0.0085"
"1.5000","0.0432","0.0138"
"1.5200","0.0438","0.0210"
"1.5400","0.0444","-0.0079"
"1.5600","0.0450","0.0038"
"1.5800","0.0456","0.0142"
"1.6000","0.0462","0.0013"
"1.6200","0.0468","0.0262"
"1.6400","0.0474","0.0123"
"1.6600","0.0480","0.0167"
"1.6800","0.0486","0.0097"
"1.7000","0.0492","0.0065"
"1.7200","0.0498","0.0109"
"1.7400","0.0504","0.0010"
"1.7600","0.0510","-0.0021"
"1.7800","0.0516","0.0265"
"1.8000","0.0522","0.0185"
"1.8200","0.0528","0.0031"
"1.8400","0.0534","0.0203"
"1.8600","0.0540","0.0036"
"1.8800","0.0546","0.0279"
"1.9000","0.0552","0.0168"
"1.9200","0.0558","0.0015"
"1.9400","0.0564","0.0138"
"1.9600","0.0570","0.0036"
"1.9800","0.0576","0.0286"
"2.0000","0.0582","0.0038"
"2.0200","0.0588","0.0017"
"2.0400","0.0594","0.0041"
"2.0600","0.0600","0.0117"
"2.0800","0.0606","0.0033"
"2.1000","0.0612","0.0059"
"2.1200","0.0618","0.0232"
"2.1400","0.0624","0.0200"
"2.1600","0.0630","-0.0006"
"2.1800","0.0636","0.0114"
"2.2000","0.0642","-0.0086"
"2.2200","0.0649","0.0045"
"2.2400","0.0655","0.0454"
"2.2600","0.0661","0.0371"
"2.2800","0.0667","0.0109"
"2.3000","0.0673","0.0045"
"2.3200","0.0680","0.0164"
"2.3400","0.0686","0.0205"
"2.3600","0.0692","0.0203"
"2.3800","0.0698","0.0163"
"2.4000","0.0703","0.0246"
"2.4200","0.0709","0.0235"
"2.4400","0.0715","0.0096"
"2.4600","0.0722","0.0083"
"2.4800","0.0728","0.0115"
"2.5000","0.0734","0.0109"
"2.5200","0.0740","0.0168"
"2.5400","0.0746","0.0308"
"2.5600","0.0752","0.0249"
"2.5800","0.0758","0.0182"
"2.6000","0.0764","0.0066"
"2.6200","0.0770","0.0213"
"2.6400","0.0776","0.0137"
"2.6600","0.0782","0.0080"
"2.6800","0.0788","0.0274"
"2.7000","0.0794","0.0285"
"2.7200","0.0800","0.0139"
"2.7400","0.0805","0.0151"
"2.7600","0.0811","-0.0041"
"2.7800","0.0817","0.0355"
"2.8000","0.0823","0.0214"
"2.8200","0.0829","-0.0018"
"2.8400","0.0835","0.0134"
"2.8600","0.0840","0.0225"
"2.8800","0.0846","0.0357"
"2.9000","0.0852","0.0169"
"2.9200","0.0858","-0.0020"
"2.9400","0.0864","0.0217"
"2.9600","0.0870","0.0252"
"2.9800","0.0876","0.0425"
"3.0000","0.0882","0.0092"
"3.0200","0.0888","0.0063"
"3.0400","0.0894","0.0166"
"3.0600","0.0900","0.0275"
"3.0800","0.0906","0.0116"
"3.1000","0.0912","0.0120"
"3.1200","0.0918","0.0246"
"3.1400","0.0924","0.0214"
"3.1600","0.0930","0.0199"
"3.1800","0.0936","0.0175"
"3.2000","0.0942","0.0182"
"3.2200","0.0948","0.0186"
"3.2400","0.0954","0.0287"
"3.2600","0.0960","0.0249"
"3.2800","0.0966","0.0056"
"3.3000","0.0972","0.0155"
"3.3200","0.0978","0.0149"
"3.3400","0.0984","0.0403"
"3.3600","0.0991","0.0258"
"3.3800","0.0997","0.0025"
"3.4000","0.1003","0.0296"
"3.4200","0.1009","0.0179"
"3.4400","0.1016","0.0271"
"3.4600","0.1022","0.0228"
"3.4800","0.1028","0.0234"
"3.5000","0.1034","0.0066"
"3.5200","0.1040","0.0336"
"3.5400","0.1046","0.0316"
"3.5600","0.1052","0.0154"
"3.5800","0.1058","0.0186"
"3.6000","0.1064","0.0367"
"3.6200","0.1069","0.0347"
"3.6400","0.1075","0.0045"
"3.6600","0.1081","0.0153"
"3.6800","0.1087","0.0291"
"3.7000","0.1094","0.0295"
"3.7200","0.1100","0.0267"
"3.7400","0.1106","0.0155"
"3.7600","0.1112","0.0275"
"3.7800","0.1118","0.0193"
"3.8000","0.1123","0.0211"
"3.8200","0.1129","0.0409"
"3.8400","0.1135","0.0184"
"3.8600","0.1142","0.0046"
"3.8800","0.1148","0.0408"
"3.9000","0.1154","0.0435"
"3.9200","0.1159","0.0219"
"3.9400","0.1165","-0.0008"
"3.9600","0.1171","0.0272"
"3.9800","0.1176","0.0151"
"4.0000","0.1182","0.0176"
"4.0200","0.1188","0.0322"
"4.0400","0.1194","0.0448"
"4.0600","0.1200","0.0190"
"4.0800","0.1206","0.0093"
"4.1000","0.1212","0.0332"
"4.1200","0.1218","0.0250"
"4.1400","0.1224","0.0272"
"4.1600","0.1230","0.0239"
"4.1800","0.1236","0.0140"
"4.2000","0.1242","0.0218"
"4.2200","0.1248","0.0214"
"4.2400","0.1254","0.0369"
"4.2600","0.1260","0.0334"
"4.2800","0.1266","0.0257"
"4.3000","0.1272","0.0083"
"4.3200","0.1278","0.0376"
"4.3400","0.1284","0.0362"
"4.3600","0.1290","0.0336"
"4.3800","0.1296","0.0072"
"4.4000","0.1302","0.0256"
"4.4200","0.1308","0.0412"
"4.4400","0.1314","0.0522"
"4.4600","0.1320","0.0370"
"4.4800","0.1326","-0.0021"
"4.5000","0.1332","0.0254"
"4.5200","0.1338","0.0440"
"4.5400","0.1344","0.0243"
"4.5600","0.1350","0.0216"
"4.5800","0.1357","0.0357"
"4.6000","0.1363","0.0339"
"4.6200","0.1369","0.0354"
"4.6400","0.1375","0.0389"
"4.6600","0.1381","0.0346"
"4.6800","0.1387","0.0172"
"4.7000","0.1393","0.0308"
"4.7200","0.1399","0.0285"
"4.7400","0.1405","0.0157"
"4.7600","0.1411","0.0235"
"4.7800","0.1417","0.0419"
"4.8000","0.1423","0.0436"
"4.8200","0.1429","0.0360"
"4.8400","0.1435","0.0038"
